"oid","name","code","price","sale-price","orderable","ship-weight","taxable"
"acnewse","Accessories","NULL",,,"No",,"Yes"
"adpadecobyho","Adrianna Papell <br>Destination Collection","NULL",,,"No",,"Yes"
"adpaplwedr40","Adrianna Papell Platinum Wedding Dress - 40232","AP40232","647.00 ",,"Yes",,"Yes"
"adpaplwedr401","Adrianna Papell Platinum Wedding Dress - 40233","AP40233","572.00 ",,"Yes",,"Yes"
"adpaplwedr4010","Adrianna Papell Platinum Wedding Dress - 40266","AP40266","849.00 ",,"Yes",,"Yes"
"adpaplwedr4011","Adrianna Papell Platinum Wedding Dress - 40267","AP40267","1079.00 ",,"Yes",,"Yes"
"adpaplwedr4012","Adrianna Papell Platinum Wedding Dress - 40268","AP40268","819.00 ",,"Yes",,"Yes"
"adpaplwedr4013","Adrianna Papell Platinum Wedding Dress - 40269","AP40269","1129.00 ",,"Yes",,"Yes"
"adpaplwedr4014","Adrianna Papell Platinum Wedding Dress - 40270","AP40270","629.00 ",,"Yes",,"Yes"
"adpaplwedr4015","Adrianna Papell Platinum Wedding Dress - 40271","AP40271","789.00 ",,"Yes",,"Yes"
"adpaplwedr4016","Adrianna Papell Platinum Wedding Dress - 40272","AP40272","1129.00 ",,"Yes",,"Yes"
"adpaplwedr402","Adrianna Papell Platinum Wedding Dress - 40234","AP40234","597.00 ",,"Yes",,"Yes"
"adpaplwedr403","Adrianna Papell Platinum Wedding Dress - 40235","AP40235","1147.00 ",,"Yes",,"Yes"
"adpaplwedr404","Adrianna Papell Platinum Wedding Dress - 40236","AP40236","597.00 ",,"Yes",,"Yes"
"adpaplwedr405","Adrianna Papell Platinum Wedding Dress - 40237","AP40237","872.00 ",,"Yes",,"Yes"
"adpaplwedr406","Adrianna Papell Platinum Wedding Dress - 40238","AP40238","597.00 ",,"Yes",,"Yes"
"adpaplwedr407","Adrianna Papell Platinum Wedding Dress - 40239","AP40239","547.00 ",,"Yes",,"Yes"
"adpaplwedr408","Adrianna Papell Platinum Wedding Dress - 40240","AP40240","572.00 ",,"Yes",,"Yes"
"adpaplwedr409","Adrianna Papell Platinum Wedding Dress - 40241","AP40241","647.00 ",,"Yes",,"Yes"
"adpawedrb401","Adrianna Papell - Wedding Dress - <br>SAMPLE 40238 $469","APSample40238","469.00 ",,"Yes",,"Yes"
"afsixbrdr","Dessy Group: After Six Bridesmaid Dresses","NULL",,,"No",,"Yes"
"afsixbrdrst","After Six Bridesmaid Dress Style 6782","A6782","265.00 ","225.00 ","Yes",,"Yes"
"afsixbrdrst1","After Six Bridesmaid Dress Style ","D6819","248.00 ","211.00 ","Yes",,"Yes"
"afsixbrdrst11","After Six Bridesmaid Dress Style 1524","S1524","187.00 ","159.00 ","Yes",,"Yes"
"afsixbrdrst6","After Six Bridesmaid Dress Style 6817","A6817","248.00 ","211.00 ","Yes",,"Yes"
"afsixbrdrst61","After Six Bridesmaid Dress Style 6818","D6818","248.00 ","211.00 ","Yes",,"Yes"
"afsixbrdrst610","After Six Bridesmaid Dress Style 6781","A6781","223.00 ","190.00 ","Yes",,"Yes"
"afsixbrdrst611","After Six Bridesmaid Dress Style  6826","S6826","248.00 ","211.00 ","Yes",,"Yes"
"afsixbrdrst612","After Six Bridesmaid Dress Style  6828","S6828","231.00 ","196.00 ","Yes",,"Yes"
"afsixbrdrst613","After Six Bridesmaid Dress Style 6829","S6829","231.00 ","196.00 ","Yes",,"Yes"
