"oid","name"
"acnewse","Accessories"
"adpadecobyho","Adrianna Papell <br>Destination Collection"
"adpaplwedr40","Adrianna Papell Platinum Wedding Dress - 40232"
"adpaplwedr401","Adrianna Papell Platinum Wedding Dress - 40233"
"adpaplwedr4010","Adrianna Papell Platinum Wedding Dress - 40266"
"adpaplwedr4011","Adrianna Papell Platinum Wedding Dress - 40267"
"adpaplwedr4012","Adrianna Papell Platinum Wedding Dress - 40268"
"adpaplwedr4013","Adrianna Papell Platinum Wedding Dress - 40269"
"adpaplwedr4014","Adrianna Papell Platinum Wedding Dress - 40270"
"adpaplwedr4015","Adrianna Papell Platinum Wedding Dress - 40271"
"adpaplwedr4016","Adrianna Papell Platinum Wedding Dress - 40272"
"adpaplwedr402","Adrianna Papell Platinum Wedding Dress - 40234"
"adpaplwedr403","Adrianna Papell Platinum Wedding Dress - 40235"
"adpaplwedr404","Adrianna Papell Platinum Wedding Dress - 40236"
"adpaplwedr405","Adrianna Papell Platinum Wedding Dress - 40237"
"adpaplwedr406","Adrianna Papell Platinum Wedding Dress - 40238"
"adpaplwedr407","Adrianna Papell Platinum Wedding Dress - 40239"
"adpaplwedr408","Adrianna Papell Platinum Wedding Dress - 40240"
"adpaplwedr409","Adrianna Papell Platinum Wedding Dress - 40241"
"adpawedrb401","Adrianna Papell - Wedding Dress - <br>SAMPLE 40238 $469"
"afsixbrdr","Dessy Group: After Six Bridesmaid Dresses"
"afsixbrdrst","After Six Bridesmaid Dress Style 6782"
"afsixbrdrst1","After Six Bridesmaid Dress Style "
"afsixbrdrst11","After Six Bridesmaid Dress Style 1524"
"afsixbrdrst6","After Six Bridesmaid Dress Style 6817"
"afsixbrdrst61","After Six Bridesmaid Dress Style 6818"
"afsixbrdrst610","After Six Bridesmaid Dress Style 6781"
"afsixbrdrst611","After Six Bridesmaid Dress Style  6826"
"afsixbrdrst612","After Six Bridesmaid Dress Style  6828"
"afsixbrdrst613","After Six Bridesmaid Dress Style 6829"
"afsixbrdrst614","After Six Bridesmaid Dress Style 6760"
"afsixbrdrst615","After Six Bridesmaid Dress Style 6830"
"afsixbrdrst62","After Six Bridesmaid Dress Style 6820"
"afsixbrdrst621","After Six Bridesmaid Dress Style 6777"
"afsixbrdrst622","After Six Bridesmaid Dress Style 6776"
"afsixbrdrst623","After Six Bridesmaid Dress Style 6775"
"afsixbrdrst63","After Six Bridesmaid Dress Style 6821"
"afsixbrdrst633","After Six Bridesmaid Dress Style 6769"
"afsixbrdrst636","After Six Bridesmaid Dress Style 6808"
"afsixbrdrst639","After Six Bridesmaid Dress Style 6809"
"afsixbrdrst64","After Six Bridesmaid Dress Style 6758"
"afsixbrdrst640","After Six Bridesmaid Dress Style 6810"
"afsixbrdrst65","After Six Bridesmaid Dress Style 6822"
"afsixbrdrst650","After Six Bridesmaid Dress Style 6766"
"afsixbrdrst651","After Six Bridesmaid Dress Style 6766P"
"afsixbrdrst66","After Six Bridesmaid Dress Style 6823"
"afsixbrdrst67","After Six Bridesmaid Dress Style 6803"
"afsixbrdrst68","After Six Bridesmaid Dress Style  6824"
"afsixbrdrst69","After Six Bridesmaid Dress Style  6825"
"afsixbrdrst8","After Six Bridesmaid Dress Style 6784"
"afsixbrdrstb","After Six Bridesmaid Dress Style <br>1525"
"afsixbrdrstb1","After Six Bridesmaid Dress Style <br> 1526"
"afsixbrst15","After Six Bridesmaid Style 1504"
"afsixflgidr4","After Six Flower Girl Dress 4002"
"afsixmadrstm1","After Six Maternity Dress Style M424"
"algowebanewi","Alluring Gold Wedding Back Necklace with Ivory Pearls & Crystal Drop"
"alsubrdr","Dessy Group: Alfred Sung Bridesmaid Dresses"
